QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20212,04423934,2,0,1,170,D,01,D,100,D,,A,,A
20212,04423934,3,0,1,170,D,03,D,100,D,,A,,A
20212,04423954,6,0,1,170,D,01,D,20000,D,,A,,A
20212,04423954,7,0,1,160,D,02,D,3000,D,,A,,A
20212,04424104,3,0,1,160,D,13,D,20,D,,A,,A
20212,04424104,4,0,1,800,D,03,D,8400,D,2,D,1,D
20212,04424154,2,0,1,150,D,13,D,20,D,,A,,A
20212,04424154,3,0,1,150,D,02,D,4,D,,A,,A
20212,04424154,4,0,1,800,D,03,D,4200,D,2,D,1,D
20212,04424184,2,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04424194,2,0,1,800,D,03,D,2800,D,2,D,2,D
20212,04424214,2,0,1,800,D,03,D,1200,D,2,D,1,D
20212,04424234,4,0,1,800,D,01,D,1200,D,2,D,3,D
20212,04424234,5,0,1,800,D,03,D,2800,D,2,D,3,D
20212,04424304,5,0,1,150,D,13,D,300,D,,A,,A
20212,04424334,2,0,1,800,D,01,D,1800,D,2,D,2,D
20212,04424334,3,0,1,800,D,03,D,4200,D,2,D,2,D
20212,04424344,2,0,1,800,D,02,D,4000,D,2,D,,C
20212,04424354,2,0,1,150,D,13,D,80,D,,A,,A
20212,04424354,3,0,1,800,D,03,D,600,D,2,D,1,D
20212,04424384,4,0,1,800,D,01,D,600,D,2,D,2,D
20212,04424404,6,0,1,800,D,03,D,5600,D,2,D,2,D
20212,04424404,7,0,1,800,D,01,D,2400,D,2,D,2,D
20212,04424424,2,0,1,800,D,03,D,1400,D,2,D,2,D
20212,04424454,2,0,1,800,D,01,D,2800,D,2,D,1,D
20212,04424484,4,0,1,150,D,13,D,130,D,,A,,A
20212,04424484,5,0,1,800,D,03,D,8400,D,2,D,3,D
20212,04424504,3,0,1,800,D,03,D,2800,D,2,D,3,D
20212,04424534,2,0,1,800,D,02,D,1400,D,2,D,3,D
20212,04424534,3,0,1,800,D,01,D,600,D,2,D,3,D
20212,04424544,4,0,1,130,D,03,D,400,D,,A,,A
20212,04424544,5,0,1,800,D,03,D,2800,D,1,D,1,D
20212,04424554,5,0,1,110,D,13,D,600,D,,A,,A
20212,04424574,3,0,1,800,D,01,D,2800,D,2,D,1,D
