QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOD,PROP0NOD,OWNYD,OWNYD_,DISPMTHD,DISP_THD,DISPX,DISPX_,DISPEXPX,DISP_XPX,DISPMO,DISPMO_,DISPYR,DISPYR_
20221,04746484,35,0,1,03,D,400,D,2,D,,A,,A,10,D,2021,D
20221,04750754,10,0,1,01,D,100,D,3,D,,A,,A,12,D,2021,D
20221,04751634,29,0,1,01,D,100,D,1,D,1262500,T,60000,F,01,D,2022,D
20221,04758004,31,0,1,02,D,300,D,3,D,,A,,A,01,D,2021,D
20221,04768084,27,0,1,04,D,400,D,3,D,,A,,A,01,D,2022,D
20221,04834493,16,0,1,02,D,400,D,3,D,,A,,A,11,D,2021,D
20221,04846423,21,0,1,01,D,200,D,1,D,220000,D,0,D,01,D,2022,D
20221,04901022,32,0,1,03,D,300,D,3,D,,A,,A,12,D,2021,D
20221,04904072,31,0,1,01,D,300,D,1,D,150750,T,3800,D,10,D,2021,D
20221,04913902,23,0,1,02,D,200,D,1,D,335000,D,30000,F,12,D,2021,D
20221,04919992,17,0,1,02,D,400,D,3,D,,A,,A,01,D,2022,D
20221,04922112,25,0,1,02,D,200,D,1,D,430000,D,30000,D,01,D,2022,D
20221,04941661,15,0,1,02,D,200,D,1,D,18000,D,30000,F,11,D,2021,D
20221,04943991,4,0,1,01,D,200,D,1,D,,A,,A,12,D,2021,D
