QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20212,04756841,23,0,1,1,D,100,D,100,D,,A,,A,,A,,A,,A,,A,100,D,,A
20212,04757471,35,0,1,2,D,569,D,50,D,,A,200,D,,A,,A,,A,,A,150,D,,A
20212,04758081,25,0,1,2,D,200,D,,A,10,D,40,D,,A,,A,,A,,A,150,D,10,D
20212,04764181,29,0,1,2,D,320,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20212,04764491,35,0,1,1,D,180,D,25,D,,A,,A,,A,,A,,A,,A,175,D,,A
20212,04764811,24,0,1,1,D,,A,,A,,A,,A,1,D,1,D,2,D,2,D,,A,,A
20212,04766111,41,0,1,2,D,500,D,12,D,,A,,A,,A,,A,,A,,A,188,D,,A
20212,04766411,63,0,1,1,D,160,D,50,D,,A,,A,,A,,A,,A,,A,100,D,,A
20212,04768651,20,0,1,1,D,128,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04769231,18,0,1,3,D,262,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20213,04544644,24,0,1,6,D,,A,100,D,,A,,A,,A,,A,,A,,A,250,D,,A
20213,04545654,26,0,1,1,D,83,G,,A,,A,37,G,2,D,1,D,1,D,2,D,,A,,A
20213,04546004,8,0,1,1,D,,A,38,G,7,G,,A,,A,,A,,A,,A,29,G,16,G
20213,04546824,41,0,1,1,D,116,D,20,D,,A,,A,,A,,A,,A,,A,52,D,,A
20213,04548264,38,0,1,1,D,192,D,,A,,A,144,D,,A,,A,,A,,A,100,D,,A
20213,04550384,53,0,1,2,D,202,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20213,04552384,34,0,1,2,D,305,G,,A,,A,,A,1,D,1,D,2,D,2,D,,A,,A
20213,04553274,30,0,1,2,D,230,D,75,D,20,D,,A,,A,,A,,A,,A,175,D,10,D
20213,04554084,36,0,1,3,D,360,D,,A,,A,,A,,A,,A,,A,,A,300,D,,A
20213,04554304,55,0,1,1,D,300,D,50,D,,A,,A,,A,,A,,A,,A,165,D,,A
20213,04555184,20,0,1,1,D,140,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20213,04559814,44,0,1,2,D,240,D,10,D,,A,,A,,A,,A,,A,,A,60,D,,A
20213,04560704,10,0,1,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20213,04564024,43,0,1,3,D,84,D,,A,20,D,,A,,A,,A,,A,,A,,A,80,D
20213,04564024,44,0,1,3,D,,A,,A,20,D,,A,,A,,A,,A,,A,,A,80,D
20213,04567644,37,0,1,1,D,250,D,30,D,,A,,A,,A,,A,,A,,A,120,D,,A
20213,04571194,18,0,1,2,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,20,D
20213,04573114,12,0,1,2,D,200,G,,A,,A,,A,2,D,1,D,2,D,2,D,30,D,,A
20213,04575704,29,0,1,2,D,1246,G,56,G,27,G,208,G,,A,,A,,A,,A,391,G,72,G
20213,04576644,16,0,1,4,D,350,D,,A,,A,,A,,A,,A,,A,,A,300,D,,A
20213,04611513,25,0,1,2,D,400,D,,A,,A,,A,,A,,A,,A,,A,200,D,40,D
20213,04614863,24,0,1,1,D,309,G,32,G,,A,,A,1,D,1,D,2,D,2,D,169,G,,A
20213,04619103,35,0,1,4,D,592,D,40,D,,A,,A,,A,,A,,A,,A,60,D,35,D
20213,04620003,14,0,1,4,D,1575,D,40,D,,A,,A,,A,,A,,A,,A,260,D,,A
20213,04621353,17,0,1,1,D,265,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20213,04652353,95,0,1,1,D,95,D,9,D,,A,,A,,A,,A,,A,,A,13,D,,A
20213,04652903,30,0,1,1,D,,A,,A,,A,80,D,1,D,1,D,2,D,2,D,20,D,,A
20213,04655093,23,0,1,2,D,300,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20213,04655093,24,0,1,2,D,300,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20213,04657033,30,0,1,12,D,2400,D,120,D,60,D,300,D,,A,,A,,A,,A,1680,D,0,D
20213,04657833,15,0,1,6,D,,A,,A,,A,,A,,A,,A,,A,,A,96,D,,A
20213,04662993,46,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,56,D,,A
20213,04682463,44,0,1,2,D,105,D,,A,,A,,A,,A,,A,,A,,A,87,D,,A
20213,04684283,50,0,1,3,D,400,D,,A,,A,,A,,A,,A,,A,,A,175,D,,A
20213,04687893,16,0,1,10,D,1500,D,,A,,A,,A,,A,,A,,A,,A,225,D,,A
20213,04736992,40,0,1,2,D,258,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20213,04739242,26,0,1,4,D,450,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20213,04740522,29,0,1,1,D,200,D,50,D,,A,,A,,A,,A,,A,,A,150,D,,A
20213,04741292,17,0,1,5,D,1500,D,,A,,A,100,G,,A,,A,,A,,A,300,D,,A
20213,04744612,12,0,1,6,D,1161,G,140,G,,A,338,G,1,D,1,D,1,D,2,D,361,G,,A
20213,04745772,22,0,1,8,D,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20213,04747512,30,0,1,1,D,78,G,8,G,,A,,A,1,D,1,D,2,D,2,D,24,G,,A
20213,04750022,41,0,1,5,D,450,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20213,04750102,29,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20213,04750642,29,0,1,1,D,200,D,,A,,A,100,D,,A,,A,,A,,A,,A,,A
20213,04751744,9,0,1,1,D,159,D,,A,,A,,A,,A,,A,,A,,A,10,D,,A
20213,04753032,38,0,1,1,D,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20213,04753612,47,0,1,3,D,1200,D,250,D,,A,,A,,A,,A,,A,,A,400,D,,A
20213,04754692,23,0,1,30,D,1500,D,,A,,A,,A,,A,,A,,A,,A,1500,D,,A
20213,04755772,18,0,1,90,D,,A,900,D,,A,,A,,A,,A,,A,,A,900,D,,A
20213,04759562,46,0,1,1,D,,A,40,D,,A,,A,,A,,A,,A,,A,40,D,,A
20213,04763472,30,0,1,5,D,1000,D,,A,,A,300,D,,A,,A,,A,,A,200,D,35,F
20213,04764342,35,0,1,14,D,1000,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20213,04764462,43,0,1,30,D,,A,,A,,A,,A,,A,,A,,A,,A,400,D,,A
20213,04766072,44,0,1,1,D,200,D,20,D,,A,,A,,A,,A,,A,,A,140,D,,A
20213,04766652,38,0,1,12,D,418,F,,A,,A,,A,,A,,A,,A,,A,300,D,300,D
20213,04769412,10,0,1,,C,418,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20213,04815251,29,0,1,3,D,100,G,40,D,,A,,A,2,D,1,D,2,D,2,D,47,D,50,D
20213,04815341,22,0,1,4,D,569,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20213,04815882,31,0,1,1,D,,A,25,D,,A,,A,,A,,A,,A,,A,45,D,,A
20213,04816221,37,0,1,1,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20213,04818511,44,0,1,2,D,160,D,150,D,,A,,A,,A,,A,,A,,A,250,D,20,D
20213,04818991,43,0,1,2,D,330,D,40,D,,A,,A,,A,,A,,A,,A,80,D,,A
20213,04819391,29,0,1,2,D,250,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20213,04822421,31,0,1,1,D,280,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20213,04822484,42,0,1,2,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20213,04823021,46,0,1,3,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20213,04829031,32,0,1,1,D,260,D,20,D,,A,,A,,A,,A,,A,,A,40,D,,A
20213,04829061,38,0,1,14,D,2450,D,280,D,50,D,,A,,A,,A,,A,,A,1120,D,450,D
20213,04829911,40,0,1,5,D,400,D,,A,,A,600,D,,A,,A,,A,,A,2000,D,,A
20213,04830061,18,0,1,3,D,240,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20213,04831601,14,0,1,7,D,,A,9,G,19,G,,A,,A,,A,,A,,A,42,G,406,G
20213,04833752,12,0,1,25,D,2000,D,,A,,A,,A,,A,,A,,A,,A,100,D,300,D
20213,04836411,31,0,1,4,D,400,D,,A,20,D,,A,,A,,A,,A,,A,150,D,55,D
20213,04838971,45,0,1,1,D,200,D,25,D,,A,,A,,A,,A,,A,,A,225,D,25,D
20213,04839401,26,0,1,4,D,1700,D,80,D,,A,,A,,A,,A,,A,,A,320,D,25,D
20213,04839751,16,0,1,12,D,,A,200,D,10,D,,A,,A,,A,,A,,A,1000,D,240,D
20213,04841203,24,0,1,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20213,04842741,21,0,1,5,D,1000,D,,A,,A,,A,,A,,A,,A,,A,400,D,,A
20213,04843341,23,0,1,6,D,500,D,,A,,A,,A,,A,,A,,A,,A,200,D,50,D
20213,04845511,36,0,1,1,D,600,D,30,D,,A,,A,,A,,A,,A,,A,70,D,,A
20213,04845991,29,0,1,4,D,600,D,,A,40,D,,A,,A,,A,,A,,A,,A,260,D
20213,04846661,18,0,1,2,D,400,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20213,04849564,39,0,1,7,D,357,D,100,D,100,D,,A,,A,,A,,A,,A,400,D,350,D
20214,04611054,13,0,1,1,D,180,D,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20214,04614084,40,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20214,04615824,44,0,1,1,D,300,D,50,D,,A,100,D,,A,,A,,A,,A,150,D,,A
20214,04619584,24,0,1,3,D,,A,,A,,A,,A,,A,,A,,A,,A,60,D,120,D
20214,04652394,45,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04655144,35,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20214,04657274,39,0,1,1,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04660754,70,0,1,4,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04660784,32,0,1,5,D,1500,D,400,D,,A,,A,,A,,A,,A,,A,800,D,,A
20214,04679334,14,0,1,2,D,400,D,,A,,A,40,D,,A,,A,,A,,A,200,D,,A
20214,04683824,29,0,1,1,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04684284,58,0,1,2,D,250,D,,A,,A,,A,,A,,A,,A,,A,100,D,50,D
20214,04685694,66,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,126,D,,A
20214,04686014,26,0,1,2,D,230,D,,A,,A,,A,,A,,A,,A,,A,60,D,15,D
20214,04686084,49,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,600,D,,A
20214,04688454,52,0,1,1,D,135,D,50,D,25,D,,A,,A,,A,,A,,A,100,D,0,D
20214,04736993,47,0,1,1,D,179,D,100,D,,A,,A,,A,,A,,A,,A,200,D,,A
20214,04738253,21,0,1,4,D,22,G,3,G,,A,,A,1,D,1,D,2,D,2,D,10,G,,A
20214,04739313,42,0,1,2,D,500,D,,A,,A,,A,,A,,A,,A,,A,50,D,50,D
20214,04739853,42,0,1,1,D,374,D,,A,,A,,A,,A,,A,,A,,A,57,D,,A
20214,04739973,28,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D
20214,04744203,35,0,1,6,D,700,D,200,D,100,D,,A,,A,,A,,A,,A,400,D,300,D
20214,04749883,20,0,1,7,D,,A,,A,,A,,A,,A,,A,,A,,A,2000,D,,A
20214,04750283,28,0,1,1,D,1,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20214,04752963,28,0,1,1,D,107,G,14,G,,A,,A,1,D,1,D,2,D,2,D,44,G,,A
20214,04754073,23,0,1,6,D,1200,D,,A,,A,900,D,,A,,A,,A,,A,500,D,,A
20214,04754483,11,0,1,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04755183,21,0,1,1,D,,A,100,D,,A,200,D,,A,,A,,A,,A,200,D,,A
20214,04756043,38,0,1,1,D,160,D,45,D,,A,40,D,,A,,A,,A,,A,245,D,,A
20214,04756963,41,0,1,2,D,425,D,,A,,A,,A,,A,,A,,A,,A,120,D,,A
20214,04757223,32,0,1,3,D,2000,D,150,D,,A,,A,,A,,A,,A,,A,350,D,,A
20214,04763003,23,0,1,7,D,1400,D,100,D,,A,,A,,A,,A,,A,,A,600,D,,A
20214,04766603,22,0,1,13,D,1400,D,,A,100,D,,A,,A,,A,,A,,A,400,D,100,D
20214,04815312,28,0,1,2,D,250,D,,A,20,D,,A,,A,,A,,A,,A,100,D,30,D
20214,04815632,18,0,1,4,D,,A,,A,,A,,A,1,D,1,D,1,D,2,D,,A,,A
20214,04818062,33,0,1,8,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04818062,34,0,1,1,D,,A,,A,,A,250,D,,A,,A,,A,,A,24,D,,A
20214,04819212,13,0,1,1,D,174,D,,A,,A,,A,,A,,A,,A,,A,,A,20,D
20214,04825182,21,0,1,2,D,140,D,30,D,,A,,A,,A,,A,,A,,A,50,D,240,D
20214,04825202,31,0,1,2,D,1300,D,,A,,A,,A,,A,,A,,A,,A,300,D,150,D
20214,04830002,23,0,1,1,D,75,D,4,D,,A,,A,,A,,A,,A,,A,76,D,5,D
20214,04830422,30,0,1,1,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04830422,31,0,1,2,D,164,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04830624,24,0,1,2,D,300,D,75,D,,A,,A,,A,,A,,A,,A,225,D,,A
20214,04831312,35,0,1,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,20,D
20214,04832812,60,0,1,1,D,275,D,,A,,A,30,D,,A,,A,,A,,A,110,D,,A
20214,04835642,37,0,1,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,5,D,,A
20214,04836222,23,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20214,04838342,30,0,1,2,D,500,D,50,D,,A,,A,,A,,A,,A,,A,200,D,,A
20214,04838463,32,0,1,2,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04838992,32,0,1,6,D,,A,100,D,,A,,A,,A,,A,,A,,A,200,D,,A
20214,04839072,32,0,1,1,D,320,D,100,D,,A,200,D,,A,,A,,A,,A,150,D,,A
20214,04840652,20,0,1,2,D,106,D,,A,,A,,A,,A,,A,,A,,A,,A,40,D
20214,04841262,13,0,1,14,D,,A,,A,,A,,A,,A,,A,,A,,A,150,D,700,D
20214,04842872,78,0,1,1,D,39,D,35,D,40,D,,A,,A,,A,,A,,A,15,D,30,D
20214,04844662,26,0,1,1,D,330,D,150,F,,A,,A,,A,,A,,A,,A,350,F,,A
20214,04845202,27,0,1,1,D,,A,50,D,,A,50,D,,A,,A,,A,,A,150,D,,A
20214,04845302,22,0,1,7,D,607,G,,A,,A,193,G,,A,,A,,A,,A,300,D,,A
20214,04846222,13,0,1,4,D,240,D,,A,,A,,A,,A,,A,,A,,A,80,D,,A
20214,04847632,20,0,1,1,D,271,F,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20214,04847822,44,0,1,1,D,75,D,,A,,A,120,D,,A,,A,,A,,A,,A,,A
20214,04848612,31,0,1,3,D,,A,,A,,A,,A,,A,,A,,A,,A,350,D,60,D
20214,04849822,33,0,1,1,D,175,D,,A,,A,,A,,A,,A,,A,,A,40,D,,A
20214,04896581,32,0,1,3,D,400,D,25,D,,A,,A,,A,,A,,A,,A,175,D,,A
20214,04897031,45,0,1,15,D,400,D,,A,,A,,A,,A,,A,,A,,A,350,D,,A
20214,04898721,16,0,1,1,D,225,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20214,04899551,22,0,1,1,D,83,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20214,04899791,14,0,1,14,D,,A,500,D,,A,,A,,A,,A,,A,,A,1500,D,,A
20214,04903221,61,0,1,4,D,600,D,,A,,A,,A,,A,,A,,A,,A,500,D,,A
20214,04905421,27,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20214,04906591,22,0,1,1,D,140,D,50,D,,A,,A,,A,,A,,A,,A,100,D,,A
20214,04906971,28,0,1,6,D,1000,D,,A,,A,,A,,A,,A,,A,,A,500,D,,A
20214,04909043,35,0,1,2,D,88,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04911513,42,0,1,1,D,250,D,40,D,,A,10,D,,A,,A,,A,,A,210,D,,A
20214,04911543,29,0,1,3,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20214,04913731,27,0,1,2,D,160,D,20,D,,A,,A,,A,,A,,A,,A,80,D,,A
20214,04914031,23,0,1,5,D,,A,,A,,A,,A,2,D,1,D,1,D,2,D,,A,,A
20214,04915131,37,0,1,2,D,350,G,30,D,15,D,,A,2,D,1,D,2,D,2,D,220,D,85,D
20214,04915521,24,0,1,3,D,900,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20214,04915621,24,0,1,1,D,90,D,25,D,,A,,A,,A,,A,,A,,A,125,D,,A
20214,04916321,18,0,1,3,D,800,D,100,D,,A,,A,,A,,A,,A,,A,400,D,,A
20214,04916631,17,0,1,7,D,1500,D,,A,,A,,A,,A,,A,,A,,A,1000,D,,A
20214,04918921,11,0,1,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,300,D,,A
20214,04923521,46,0,1,3,D,1504,G,143,G,58,G,279,G,,A,,A,,A,,A,373,G,143,G
20214,04926111,17,0,1,1,D,80,D,8,D,,A,,A,,A,,A,,A,,A,27,D,,A
20214,04928841,32,0,1,7,D,1000,D,,A,,A,75,D,,A,,A,,A,,A,500,D,200,D
20214,04928851,29,0,1,2,D,390,D,,A,,A,25,D,,A,,A,,A,,A,500,F,,A
20221,04735584,43,0,1,7,D,600,D,30,D,,A,,A,,A,,A,,A,,A,570,D,,A
20221,04736994,45,0,1,7,D,,A,763,G,,A,700,D,1,D,2,D,2,D,2,D,1937,G,,A
20221,04737574,20,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,40,D,,A
20221,04744094,54,0,1,4,D,,A,100,D,,A,,A,,A,,A,,A,,A,400,D,,A
20221,04747514,28,0,1,1,D,110,D,30,D,,A,,A,,A,,A,,A,,A,50,D,,A
20221,04750504,41,0,1,3,D,600,G,,A,250,D,,A,2,D,1,D,2,D,2,D,300,D,0,D
20221,04757814,51,0,1,1,D,234,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20221,04758314,47,0,1,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20221,04761184,44,0,1,10,D,257,F,,A,,A,59,F,,A,,A,,A,,A,200,F,20,F
20221,04764084,23,0,1,6,D,156,G,31,G,,A,39,G,1,D,1,D,1,D,2,D,86,G,,A
20221,04764494,53,0,1,1,D,150,D,30,D,,A,150,D,,A,,A,,A,,A,50,D,,A
20221,04765654,30,0,1,2,D,300,D,50,D,,A,,A,,A,,A,,A,,A,150,D,,A
20221,04766414,109,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20221,04815783,35,0,1,2,D,260,D,,A,,A,60,D,,A,,A,,A,,A,80,D,40,D
20221,04820033,29,0,1,3,D,300,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20221,04821433,54,0,1,1,D,,A,,A,,A,,A,1,D,1,D,2,D,2,D,,A,,A
20221,04821803,38,0,1,1,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20221,04823023,46,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20221,04829513,26,0,1,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,50,F
20221,04831313,41,0,1,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,40,D,,A
20221,04834113,23,0,1,2,D,,A,,A,20,D,,A,,A,,A,,A,,A,,A,280,D
20221,04840383,26,0,1,3,D,350,D,75,D,,A,,A,,A,,A,,A,,A,75,D,,A
20221,04842783,10,0,1,1,D,169,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
