QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20212,04471414,34,0,5,01,D,100,D,.0460,D,120000,D,10,D,1249,D,,A,,A,,A,,A,0,D,1013,D,1017,D,1021,D,237,D,233,D,229,D,,A,09,D,2015,D,2,D,,A,61853,D,60840,D,59824,D,01,D,1,D,,A,,A,1250,D,1250,D,1250,D,1,D,2,D
20212,04504564,21,0,5,01,D,100,D,.0709,F,100000,F,15,F,904,F,,A,,A,,A,,A,0,F,2302,F,2316,F,2329,F,198,F,184,F,171,F,,A,05,F,2007,F,2,F,,A,12111,F,11278,F,10441,F,01,D,,A,,A,,A,3308,V,3308,V,3558,V,1,D,2,D
20212,04505004,54,0,5,01,D,100,D,.0472,D,9000,D,15,D,70,D,,A,,A,,A,,A,0,D,190,D,190,D,191,D,160,D,160,D,159,D,,A,03,D,2019,D,2,D,,A,8134,D,8096,D,8058,D,01,D,1,D,,A,,A,350,D,350,D,350,D,1,D,2,D
20212,04505004,55,0,5,01,D,100,D,.0472,D,1675,D,3,D,50,D,,A,,A,,A,,A,0,D,48,D,48,D,48,D,2,D,2,D,2,D,,A,04,D,2019,D,1,D,,A,632,D,585,D,537,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04506514,22,0,5,01,D,100,D,.0800,D,30000,D,15,D,300,D,,B,,B,,B,,B,13,D,95,D,96,D,97,D,192,D,191,D,190,D,,A,01,D,2020,D,1,D,,A,28728,D,28632,D,28536,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04507034,27,0,5,01,D,100,D,.0460,D,21000,D,15,D,162,D,,A,,A,,A,,A,0,D,115,D,116,D,116,D,65,D,64,D,64,D,,A,11,D,2015,D,2,D,,A,15121,D,15017,D,14913,D,01,D,1,D,,A,,A,180,D,180,D,180,D,1,D,2,D
20212,04507414,24,0,5,01,D,100,D,.0440,F,40000,F,15,F,365,F,,B,,B,,B,,B,61,F,190,F,191,F,192,F,114,F,113,F,112,F,,A,10,F,2016,F,1,F,,A,31005,F,30814,F,30623,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20212,04509264,24,0,5,01,D,100,D,.0709,D,100000,D,15,D,904,D,,A,,A,,A,,A,0,D,2302,D,2316,D,2329,D,198,D,184,D,171,D,,A,05,D,2007,D,2,D,,A,12111,D,11278,D,10441,D,01,D,1,D,,A,,A,3308,T,3308,T,3558,T,1,D,2,D
20212,04510844,24,0,5,01,D,100,D,.0475,D,50000,D,15,D,389,D,,A,,A,,A,,A,0,D,271,D,272,D,273,D,118,D,117,D,116,D,,A,11,D,2013,D,1,D,,A,29931,D,29661,D,29389,D,01,D,,A,,A,,A,133,D,133,D,133,D,1,D,2,D
20212,04513744,20,0,5,01,D,100,D,.0400,D,42000,D,10,D,425,D,,A,,A,,A,,A,0,D,80,D,81,D,81,D,28,D,27,D,27,D,,A,03,D,2020,D,2,D,,A,38514,D,38217,D,37919,D,01,D,1,D,,A,,A,115,D,115,D,115,D,1,D,2,D
20212,04514164,51,0,5,01,D,100,D,.0499,F,140000,F,15,F,1106,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,1106,F,1106,F,1106,F,,A,03,F,2015,F,1,F,,A,140000,F,140000,F,140000,F,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20212,04514274,14,0,5,01,D,100,D,.0400,D,117600,D,15,D,887,D,,B,,B,,B,,B,17,D,548,D,550,D,552,D,322,D,320,D,318,D,,A,10,D,2017,D,1,D,,A,96637,D,96089,D,95539,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04548123,45,0,5,01,D,200,D,.0367,D,17000,D,1,D,1445,D,,C,,C,,C,,C,0,D,1393,D,1397,D,1402,D,52,D,48,D,43,D,,A,01,D,2021,D,2,D,,A,17000,D,15607,D,14210,D,01,D,,A,,A,3,D,0,D,0,D,0,D,,C,,A
20212,04553743,17,0,5,01,D,100,D,.0579,F,146057,F,15,F,1216,F,3,F,4,F,,A,,A,0,F,1027,F,1032,F,1037,F,189,F,184,F,179,F,,A,02,F,2009,F,1,F,,A,39075,F,38047,F,37015,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04556983,12,0,1,01,D,100,D,.0662,F,75000,F,20,F,564,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,0,F,0,F,0,F,,A,03,F,2005,F,2,F,,A,24608,F,24179,F,23748,F,01,D,,A,,A,,A,0,F,0,F,0,F,1,D,2,D
20212,04557783,21,0,5,01,D,100,D,.0600,D,9652,D,7,D,141,D,,A,,A,,A,,A,0,D,108,D,109,D,109,D,33,D,32,D,32,D,,A,07,D,2018,D,1,D,,A,6551,D,6442,D,6334,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04558823,14,0,5,01,D,100,D,.0386,F,100000,F,1,F,8140,V,,C,,C,,C,,C,0,F,6229,V,6255,V,7443,V,216,F,189,F,162,F,,A,09,F,2020,F,1,F,,A,67092,F,58799,F,50479,F,01,D,1,D,,A,,A,,A,,A,,A,,C,,A
20212,04563313,18,0,5,01,D,100,D,.0366,F,85000,D,30,F,,A,,A,,A,,A,,A,0,F,152,F,,A,,A,,A,,A,,A,032021,D,12,F,2012,D,2,D,,A,70344,F,70169,D,69994,D,01,D,1,D,,A,,A,152,D,152,D,152,D,1,D,2,D
20212,04563423,15,0,5,01,D,100,D,.0800,D,9000,D,5,D,250,D,,B,,B,,B,,B,68,D,,A,,A,122,D,,A,,A,60,D,,A,04,D,2021,D,1,D,,A,,A,,A,9000,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04567333,11,0,1,01,D,100,D,.0386,F,468915,V,15,F,4080,F,,A,,A,,A,,A,0,F,2311,F,2318,F,2326,F,1769,F,1762,F,1754,F,,A,12,F,2020,F,1,F,,A,490946,V,488573,V,489138,V,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04571363,35,0,5,01,D,100,D,.0472,D,300000,D,11,D,2918,D,,A,,A,,A,,A,0,D,1243,D,1248,D,1253,D,657,D,652,D,647,D,,A,03,D,2019,D,2,D,,A,256348,D,254438,D,252521,D,01,D,,A,2,D,,A,1900,D,1900,D,1900,D,1,D,2,D
20212,04571453,22,0,5,01,D,100,D,.0440,D,74769,D,20,D,469,D,,A,,A,,A,,A,0,D,237,D,238,D,239,D,232,D,231,D,230,D,,A,09,D,2016,D,1,D,,A,63157,D,62919,D,62681,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04571693,29,0,5,01,D,100,D,.0386,D,468915,T,15,D,4080,D,,A,,A,,A,,A,0,D,2311,D,2318,D,2326,D,1769,D,1762,D,1754,D,,A,12,D,2020,D,1,D,,A,490946,T,488573,T,489138,T,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04572673,22,0,5,01,D,100,D,.0440,F,100000,F,10,F,1032,F,,A,,A,,A,,A,0,F,,A,,A,,A,,A,,A,,A,,A,10,F,2016,F,2,F,,A,61985,F,61181,F,60374,F,01,D,1,D,,A,,A,550,F,550,F,550,F,1,D,2,D
20212,04577143,34,0,5,01,D,100,D,.0849,D,35000,D,20,D,304,D,,A,,A,,A,,A,0,D,58,D,58,D,59,D,246,D,246,D,245,D,,A,11,D,2020,D,1,D,,A,34772,D,34714,D,34656,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04577543,22,0,5,01,D,300,D,.0400,D,,T,5,D,424,D,,A,,A,,A,,A,0,D,,T,,T,,T,77,D,76,D,74,D,,A,03,D,2021,D,1,D,,A,23000,D,22653,D,22304,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04578503,19,0,5,01,D,100,D,.0635,F,87000,F,20,F,641,F,3,F,4,F,5,F,,A,0,F,235,F,236,F,238,F,406,F,405,F,403,F,,A,01,F,2017,F,1,F,,A,76692,F,76457,F,76221,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04610242,29,0,5,01,D,100,D,.0440,D,35000,D,10,D,361,D,,A,,A,,A,,A,0,D,120,D,120,D,121,D,32,D,32,D,31,D,,A,06,D,2016,D,2,D,,A,20847,D,20563,D,20277,D,01,D,1,D,,A,,A,151,D,150,D,152,D,1,D,2,D
20212,04611202,16,0,1,01,D,100,D,.0386,D,29827,D,10,D,300,D,,A,,A,,A,,A,0,D,207,D,208,D,209,D,93,D,92,D,91,D,,A,08,D,2020,D,1,D,,A,28800,D,28593,D,28385,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04614732,38,0,5,01,D,100,D,.0386,D,15746,D,5,D,289,D,,A,,A,,A,,A,0,D,245,D,245,D,246,D,44,D,44,D,43,D,,A,05,D,2020,D,1,D,,A,13818,D,13573,D,13328,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04618282,34,0,5,01,D,100,D,.0499,D,140000,D,15,D,1106,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,1106,D,1106,D,1106,D,,A,03,D,2015,D,1,D,,A,140000,D,140000,D,140000,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20212,04653002,14,0,1,01,D,100,D,.0386,F,100000,F,1,F,8140,V,,C,,C,,C,,C,0,F,6229,V,6255,V,7443,V,216,F,189,F,162,F,,A,09,F,2020,F,1,F,,A,67092,F,58799,F,50479,F,01,D,,C,,C,,C,,A,,A,,A,,C,,A
20212,04657282,19,0,5,01,D,100,D,.0529,D,220000,D,10,D,2365,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,0,D,0,D,0,D,,A,01,D,2018,D,2,D,,A,164074,D,162432,D,160784,D,01,D,1,D,,A,,A,0,D,0,D,0,D,1,D,2,D
20212,04661922,13,0,5,01,D,100,D,.0460,D,25000,D,10,D,260,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,250,D,250,D,250,D,,A,07,D,2015,D,2,D,,A,25000,D,25000,D,25000,D,01,D,,A,2,D,,A,250,D,250,D,250,D,,A,2,D
20212,04680422,12,0,5,01,D,100,D,.0500,D,300000,D,20,D,3000,D,3,D,4,D,5,D,,A,1020,D,1153,D,1158,D,1163,D,827,D,822,D,817,D,,A,01,D,2012,D,1,D,,A,198396,D,197243,D,196085,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04681912,23,0,5,01,D,100,D,.0475,F,50000,F,15,F,389,F,,A,,A,,A,,A,0,F,271,F,272,F,273,F,118,F,117,F,116,F,,A,11,F,2013,F,1,F,,A,29931,F,29661,F,29389,F,01,D,,A,,A,,A,133,F,133,F,133,F,1,D,2,D
20212,04683822,16,0,5,01,D,100,D,.0400,F,30000,F,15,F,358,F,,B,,B,,B,,B,136,F,160,F,160,F,161,F,62,F,62,F,61,F,,A,04,F,2014,F,1,F,,A,18677,F,18517,F,18357,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04683822,17,0,5,01,D,100,D,.0800,F,30000,F,15,F,300,F,,B,,B,,B,,B,13,F,95,F,96,F,97,F,192,F,191,F,190,F,,A,01,F,2020,F,1,F,,A,28728,F,28632,F,28536,F,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04686312,17,0,5,01,D,100,D,.0800,D,25000,D,15,D,400,D,,B,,B,,B,,B,161,D,165,D,166,D,167,D,74,D,73,D,72,D,,A,11,D,2010,D,1,D,,A,11118,D,10953,D,10787,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04686612,13,0,1,01,D,100,D,.0579,D,146057,D,15,D,1216,D,3,D,4,D,,A,,A,0,D,1027,D,1032,D,1037,D,189,D,184,D,179,D,,A,02,D,2009,D,1,D,,A,39075,D,38047,D,37015,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04687932,14,0,1,01,D,100,D,.0772,D,23440,D,20,D,192,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,01,D,2001,D,1,D,,A,,A,,A,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20212,04688392,23,0,5,01,D,100,D,.0690,D,25000,D,10,D,289,D,,A,,A,,A,,A,0,D,174,D,175,D,176,D,115,D,114,D,113,D,,A,08,D,2018,D,1,D,,A,20086,D,19913,D,19738,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
