NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
03891644,1,0,60,2018,2017,0,.15300,.15300,2,.15000,.15000,0,T,.00000,.00000,6048,D,28969,D,0,D,0,D,9072,D,0,D,0,D,520,D,221,D,0,D,0,D,0,D,0,D,2064,D,1378,0,1378,1058,0,0,5358,5358,34577,34577,0,0,0,0,0,0,0,0,0,0,34577,34577,0,0,1378,1058,1378,1058,0,0,0,0,0,0,0,0,0,0,0
03891644,2,0,0,2018,2017,0,.15300,.15300,1,.10000,.10000,0,T,.00000,.00000,16294,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,589,0,589,429,0,0,2493,2493,16294,16294,0,0,0,0,0,0,0,0,0,0,16294,16294,0,0,589,429,589,429,0,0,0,0,0,0,0,0,0,0,0
03891654,1,48,0,2018,2017,2,.05850,.05850,2,.32000,.35000,07,D,.06000,.06000,52000,D,262313,D,0,D,0,D,0,D,0,D,0,D,6000,D,120,D,0,D,0,D,1,D,1,D,22320,D,86010,21214,86010,71680,21214,21177,31915,32063,378574,378574,378574,369341,0,2000,0,0,0,0,0,0,356254,356374,4184,0,81826,74180,81826,74180,0,0,0,0,0,0,0,0,0,0,0
03891654,2,0,0,2018,2017,2,.00000,.00000,1,-.3400,-.3400,07,D,-.0782,-.0782,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1,D,1,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03891704,1,0,0,2018,2017,2,.15300,.15300,2,.12000,.15000,36,D,.03310,.03310,64000,D,32000,D,0,D,0,D,0,D,0,D,0,D,4400,D,175,D,0,D,2,D,2,D,2,D,4788,D,6173,2211,6173,3491,2211,2192,14688,14688,89600,89600,89600,87415,2000,4000,0,0,0,0,0,0,89600,89600,0,0,8173,7491,8173,7491,0,0,0,0,0,0,0,0,0,0,0
03891714,1,0,0,2018,2017,0,.15300,.15300,1,.22000,.23470,07,D,.06100,.06100,95000,D,0,D,0,D,0,D,0,D,0,D,0,D,11600,D,15,D,0,D,0,D,0,D,0,D,2360,D,11461,4416,11461,11993,4416,4396,14535,14535,85331,85331,85331,83250,0,0,0,0,0,0,0,0,82971,82986,0,0,11461,11993,11461,11993,0,0,0,0,0,0,0,0,0,0,0
03891724,1,0,0,2018,2017,1,.15300,.15300,1,.12000,.15000,41,D,.07000,.07000,42000,D,0,D,0,D,0,D,0,D,0,D,12132,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3015,1220,3015,2108,1220,1169,6426,6426,42000,42000,24550,23415,0,0,0,0,0,0,0,0,42000,42000,0,0,3015,2608,3015,2608,0,0,0,0,0,0,0,0,0,0,0
03891744,1,0,0,2018,2017,0,.00000,.00000,1,.02350,.02350,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,6000,D,0,D,55,D,0,D,0,D,0,D,0,D,0,D,460,0,460,300,0,0,0,0,15000,15000,0,0,0,0,0,0,0,0,0,0,15000,15000,0,0,460,300,460,300,0,0,0,0,0,0,0,0,0,0,0
03891754,1,0,0,2018,2017,2,.00000,.00000,1,-.0765,-.0765,47,D,.00000,.00000,0,D,0,D,0,D,3014,D,0,D,0,D,0,D,740,D,437,D,0,D,0,D,0,D,0,D,100,D,0,0,0,0,0,0,0,0,3014,3014,3014,2941,0,0,0,0,0,0,0,0,3014,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03891774,1,0,0,2018,2017,0,.15300,.15300,1,.22000,.24800,43,D,.00000,.00000,75000,D,0,D,0,D,0,D,0,D,0,D,0,D,1200,D,300,D,0,D,0,D,0,D,0,D,6076,D,9950,0,9950,8590,0,0,11475,11475,69502,69502,0,0,0,0,0,0,0,0,0,0,63426,69502,0,0,9950,8590,9950,8590,0,0,0,0,0,0,0,0,0,0,0
