NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04761373,1,27,0,2021,2020,0,.15300,.15300,1,.22000,.22000,26,D,.05220,.05220,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2100,D,69,D,0,D,0,D,0,D,0,D,400,D,6379,2368,6441,6367,2378,2366,0,0,60815,60815,60815,59332,0,0,0,0,0,0,0,0,60815,60815,0,0,6441,6367,6441,6367,12400,12244,0,0,0,0,0,0,0,0,0
04761403,1,43,0,2021,2020,0,.15300,.15300,1,.21270,.21270,36,D,.03330,.03330,79000,D,0,D,0,D,0,D,0,D,0,D,0,D,3700,D,822,D,0,D,0,D,0,D,0,D,7092,D,9631,1939,9663,9625,1951,1936,12087,12087,76624,76624,76624,74755,0,0,0,0,0,0,0,0,69532,69532,0,0,9663,9625,9663,9625,0,0,0,0,0,0,0,0,0,0,0
04761403,2,40,0,2021,2020,0,.15300,.15300,1,.22000,.22000,36,D,.03330,.03330,69912,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,8381,1715,8443,8368,1728,1713,10697,10697,69912,69912,69912,68207,0,0,0,0,0,0,0,0,69912,69912,0,0,8443,8368,8443,8368,0,0,0,0,0,0,0,0,0,0,0
04761403,3,21,0,2021,2020,0,.15300,.15300,8,.12000,.12000,36,D,.02850,.02850,25000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1298,391,1315,1295,397,389,3825,3825,25000,25000,25000,24390,0,0,0,0,0,0,0,0,25000,25000,0,0,1315,1295,1315,1295,0,0,0,0,0,0,0,0,0,0,0
04761403,4,21,0,2021,2020,0,.15300,.15300,8,.10000,.10000,36,D,.00000,.00000,17000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,448,0,460,445,0,0,2601,2601,17000,17000,17000,16585,0,0,0,0,0,0,0,0,17000,17000,0,0,460,445,460,445,0,0,0,0,0,0,0,0,0,0,0
04761413,1,82,81,2021,2020,2,.15300,.15300,2,.00000,.00000,33,D,.00000,.00000,0,D,0,D,0,D,0,D,31562,D,0,D,0,D,6000,D,0,D,0,D,0,D,0,D,0,D,0,D,-833,0,0,-1000,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,16050,16050,6000,5854,0,0,0,0,0,0,0
04761443,1,57,50,2021,2020,0,.02900,.02900,2,.22000,.22000,38,D,.08750,.08750,150000,D,30000,D,0,D,0,D,0,D,0,D,0,D,6300,D,0,D,0,D,0,D,0,D,0,D,11444,D,23614,11535,23683,23600,11558,11530,26015,26536,167367,167367,167367,163285,0,0,0,0,0,0,0,0,155923,155923,0,0,23683,23600,23683,23600,4630,4630,17744,17311,0,0,0,0,0,0,0
04761483,1,70,77,2021,2020,0,.15300,.15300,2,.24000,.24000,02,D,.00000,.00000,15000,D,196824,D,0,D,43000,D,26604,D,0,D,0,D,4800,D,0,D,0,D,0,D,0,D,0,D,2000,D,48442,0,48600,48411,0,0,25078,25599,279237,279237,0,0,0,0,0,0,0,0,0,0,279237,279237,0,0,48600,48411,48600,48411,0,0,0,0,0,0,0,0,0,0,0
04761513,1,65,0,2021,2020,0,.15300,.15300,1,.12000,.12000,06,D,.04550,.04550,20500,D,0,D,0,D,0,D,0,D,0,D,0,D,2020,D,0,D,0,D,0,D,0,D,0,D,6648,D,1950,815,1966,1947,820,814,3137,3137,32081,32081,32081,31299,0,0,0,0,0,0,0,0,32081,32081,0,0,1966,1947,1966,1947,0,0,0,0,0,0,0,0,0,0,0
04761523,1,20,0,2021,2020,0,.15300,.15300,1,.00000,.00000,10,D,.00000,.00000,6480,D,0,D,0,D,0,D,0,D,0,D,12252,D,0,D,260,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,991,991,6480,6480,0,0,0,0,0,0,0,0,0,0,6480,6480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04761523,2,55,0,2021,2020,0,.15300,.15300,8,.00000,.10000,10,D,.00000,.00000,12400,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,1897,1897,12400,12400,0,0,0,0,0,0,0,0,0,0,12400,12400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04761523,3,23,0,2021,2020,0,.15300,.15300,8,.00000,.00000,10,D,.00000,.00000,12220,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,1870,1870,12220,12220,0,0,0,0,0,0,0,0,0,0,12220,12220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04761553,1,67,62,2021,2020,0,.15300,.15300,2,.10950,.10950,38,D,.08750,.08750,0,D,35000,D,40000,D,18000,D,17898,D,0,D,0,D,3400,D,15,D,0,D,0,D,0,D,0,D,14880,D,9062,4393,9061,9062,4416,4388,5355,5355,101513,101513,86300,84195,0,0,0,0,0,0,0,0,86633,86633,0,0,9061,9062,9061,9062,5630,5630,18295,17849,0,0,0,0,0,0,0
04761553,2,20,0,2021,2020,0,.15300,.15300,8,.10000,.10000,38,D,.00000,.00000,13170,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,65,0,77,62,0,0,2015,2015,13170,13170,13170,12849,0,0,0,0,0,0,0,0,13170,13170,0,0,77,62,77,62,13420,13099,0,0,0,0,0,0,0,0,0
04761563,1,34,0,2021,2020,0,.15300,.15300,1,.22620,.22620,47,D,.05750,.05750,110603,D,0,D,0,D,0,D,0,D,0,D,0,D,3800,D,180,D,0,D,0,D,0,D,0,D,11096,D,15546,5132,15593,15537,5139,5131,16922,16922,109853,109853,109853,107174,0,0,0,0,0,0,0,0,98757,98757,0,0,15593,15537,15593,15537,4500,4500,15076,14708,0,0,0,0,0,0,0
04761613,1,37,0,2021,2020,1,.15300,.15300,1,.12000,.12000,33,D,.06090,.06090,50000,D,0,D,0,D,0,D,0,D,0,D,27780,D,0,D,175,D,0,D,0,D,1,D,1,D,0,D,990,1731,1840,820,1761,1725,7650,7650,53000,53000,53000,51707,2000,3000,0,3000,0,0,0,0,53000,53000,0,0,3840,3820,3840,3820,11200,11200,175,171,0,0,0,0,0,0,0
04761613,2,38,0,2021,2020,0,.15300,.15300,1,.22000,.22000,33,D,.06090,.06090,63468,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,6963,3101,7025,6950,3117,3098,9711,9711,63468,63468,63468,61920,0,0,0,0,0,0,0,0,63468,63468,0,0,7025,6950,7025,6950,8000,8000,0,0,0,0,0,0,0,0,0
04761643,1,41,0,2021,2020,0,.15300,.15300,1,.22000,.22000,11,D,.05750,.05750,94000,D,0,D,0,D,0,D,0,D,0,D,19200,D,0,D,0,D,0,D,0,D,0,D,0,D,400,D,13658,4795,13720,13646,4807,4792,14382,14382,93900,93900,93900,91610,0,0,0,0,0,0,0,0,93900,93900,0,0,13720,13646,13720,13646,4600,4600,0,0,0,0,0,0,0,0,0
04761673,1,65,70,2021,2020,0,.15300,.15300,2,.18500,.18500,14,D,.04950,.04950,0,D,24000,D,0,D,0,D,42930,D,0,D,0,D,5800,D,205,D,0,D,0,D,0,D,0,D,0,D,360,567,385,355,569,566,3672,3672,31245,31245,24000,23415,0,0,0,0,0,0,0,0,31245,31245,0,0,385,355,385,355,0,0,0,0,290,283,0,0,0,0,0
04761683,1,73,75,2021,2020,2,.15300,.15300,2,.00000,.00000,10,D,.00000,.00000,0,D,0,D,0,D,0,D,5000,D,0,D,0,D,2100,D,383,D,0,D,0,D,0,D,0,D,0,D,-833,0,0,-1000,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04761733,1,53,0,2021,2020,0,.15300,.15300,1,.10000,.10000,03,D,.02590,.02590,20135,D,0,D,0,D,0,D,0,D,0,D,10200,D,0,D,0,D,0,D,0,D,0,D,0,D,2400,D,761,194,774,759,200,192,3081,3081,20135,20135,20135,19644,0,0,0,0,0,0,0,0,20135,20135,0,0,774,759,774,759,12400,12400,2736,2672,0,0,0,0,0,0,0
04761733,2,55,0,2021,2020,0,.15300,.15300,1,.10000,.12000,03,D,.02590,.02590,22340,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,982,251,995,979,257,249,3418,3418,22340,22340,22340,21795,0,0,0,0,0,0,0,0,22340,22340,0,0,995,979,995,979,12400,12400,358,353,0,0,0,0,0,0,0
04761743,1,30,0,2021,2020,0,.15300,.15300,1,.22000,.22000,33,D,.06090,.06410,100000,D,0,D,0,D,0,D,0,D,0,D,21300,D,0,D,1048,D,0,D,0,D,0,D,0,D,0,D,12690,4687,12752,12678,4705,4683,15300,15300,89500,89500,89500,87317,0,0,0,0,0,0,0,0,89500,89500,0,0,12752,12678,12752,12678,8000,8000,1048,1022,0,0,0,0,0,0,0
04761793,1,68,71,2021,2020,0,.15300,.15300,2,.22200,.22200,03,D,.02590,.02590,39180,D,0,D,0,D,2171,D,49392,D,0,D,0,D,2400,D,629,D,0,D,0,D,0,D,0,D,14504,D,4627,352,4659,4620,368,349,5995,5995,69519,69519,43204,42150,0,0,0,0,0,0,0,0,69519,69519,0,0,4659,4620,4659,4620,24800,24800,18490,18048,0,0,0,0,0,0,0
04761813,1,43,0,2021,2020,0,.15300,.15300,1,.12000,.12000,37,D,.05000,.05000,23000,D,0,D,0,D,0,D,0,D,0,D,6200,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1112,605,1128,1109,616,602,3519,3519,23447,23447,23447,22875,0,0,0,0,0,0,0,0,23447,23447,0,0,1128,1109,1128,1109,6350,6350,0,0,0,0,0,0,0,0,0
04761833,1,78,78,2021,2020,2,.15300,.15300,2,.00000,.00000,10,D,.00000,.00000,0,D,0,D,0,D,1535,D,28764,D,0,D,0,D,800,D,0,D,0,D,0,D,0,D,0,D,0,D,-833,0,0,-1000,0,0,0,0,1535,1535,0,0,0,1000,0,1000,0,0,0,0,1535,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04761903,1,37,0,2021,2020,2,.15300,.15300,1,.12000,.12000,05,D,.00000,.00000,46000,D,0,D,0,D,0,D,0,D,0,D,22800,D,0,D,0,D,0,D,2,D,2,D,2,D,0,D,-2193,0,-510,-2530,0,0,7038,7038,50083,50083,50083,48861,3490,6000,510,6000,0,0,0,0,50083,50083,0,0,3490,3470,3490,3470,9202,9202,0,0,0,0,0,0,0,0,0
04761903,2,36,0,2021,2020,0,.15300,.15300,1,.12000,.12000,05,D,.02780,.02780,26142,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1358,163,1374,1354,174,161,4000,4000,25494,25494,25494,24872,0,0,0,0,0,0,0,0,25494,25494,0,0,1374,1354,1374,1354,4601,4601,0,0,0,0,0,0,30,35,0
