QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20191,03895914,31,0,1,520,D,1,D,20,D,12,D,
20191,03895914,32,0,1,700,D,1,D,6,D,13,D,
20191,03895944,51,0,1,830,D,1,D,49,D,13,D,
20191,03895944,52,0,1,800,D,1,D,500,D,13,D,
20191,03895944,53,0,1,520,D,1,D,300,D,12,D,
20191,03895944,54,0,1,150,D,1,D,60,D,11,D,
20191,03895944,55,0,1,330,D,1,D,21,D,13,D,
20191,03895954,62,0,1,310,D,1,D,200,D,12,D,
20191,03895964,25,0,1,355,D,1,D,15,D,13,D,
20191,03895964,26,0,1,355,D,1,D,45,D,13,D,
20191,03895994,48,0,1,950,D,1,D,580,D,12,D,
20191,03896004,27,0,1,500,D,1,D,500,D,12,D,
20191,03896124,51,0,1,520,D,1,D,150,D,10,D,
20191,03896124,52,0,1,500,D,1,D,345,D,10,D,
20191,03896124,53,0,1,210,D,1,D,40,D,12,D,
20191,03896124,54,0,2,210,D,1,D,24,D,10,D,
20191,03896134,27,0,1,840,D,1,D,14,D,10,D,
20191,03896134,28,0,1,840,D,1,D,14,D,11,D,
20191,03896134,29,0,1,840,D,1,D,14,D,12,D,
20191,03896134,30,0,1,520,D,1,D,15,D,11,D,
20191,03896134,31,0,1,355,D,1,D,9,D,13,D,
20191,03896154,37,0,1,355,D,1,D,64,D,13,D,
20191,03896194,40,0,1,830,D,1,D,120,D,13,D,
20191,03896194,41,0,1,520,D,1,D,50,D,10,D,
20191,03896194,42,0,1,520,D,1,D,50,D,11,D,
20191,03896194,43,0,1,520,D,1,D,50,D,12,D,
20191,03896194,44,0,1,355,D,1,D,13,D,13,D,
20191,03896254,23,0,1,530,D,1,D,2500,D,12,D,
20191,03896304,53,0,1,830,D,1,D,40,D,13,D,
20191,03896304,54,0,1,840,D,1,D,120,D,10,D,
20191,03896304,55,0,1,520,D,1,D,60,D,12,D,
20191,03896304,56,0,1,330,D,1,D,5,D,13,D,
20191,03896324,10,0,1,355,D,1,D,12,D,13,D,
20191,03896364,30,0,1,840,D,1,D,13,D,10,D,
20191,03896364,31,0,1,840,D,1,D,13,D,11,D,
20191,03896364,32,0,1,840,D,1,D,13,D,12,D,
20191,03896364,33,0,1,530,D,1,D,70,D,10,D,
20191,03896364,34,0,1,520,D,1,D,25,D,10,D,
20191,03896364,35,0,1,355,D,1,D,55,D,13,D,
20191,03896364,36,0,1,370,D,1,D,50,D,11,D,
20191,03896374,25,0,1,500,D,1,D,304,D,11,D,
20191,03896374,26,0,2,500,D,1,D,195,D,10,D,
20191,03896444,26,0,1,810,D,1,D,50,D,12,D,
20191,03896444,27,0,1,150,D,1,D,60,D,10,D,
20191,03896544,13,0,1,830,D,1,D,10,D,13,D,
20191,03896604,25,0,2,530,D,1,D,49,D,10,D,
20191,03896684,15,0,2,150,D,1,D,33,D,10,D,
20191,03896764,28,0,1,355,D,1,D,10,D,13,D,
20191,03896774,14,0,1,830,D,1,D,60,D,13,D,
20191,03896784,17,0,1,355,D,1,D,23,D,13,D,
20191,03896784,18,0,1,370,D,1,D,30,D,10,D,
20191,03896784,19,0,1,370,D,1,D,30,D,11,D,
20191,03896784,20,0,1,370,D,1,D,100,D,12,D,
20191,03896804,24,0,1,520,D,1,D,100,D,10,D,
20191,03896804,25,0,1,520,D,1,D,100,D,11,D,
20191,03896804,26,0,1,520,D,1,D,100,D,12,D,
20191,03896804,27,0,1,355,D,1,D,60,D,13,D,
20191,03896834,50,0,1,830,D,1,D,59,D,13,D,
20191,03896834,51,0,1,520,D,1,D,20,D,10,D,
