QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,WHATPART,WHAT_ART,TRIPIDBC,TRIP_DBC,NUMSAME,NUMSAME_,EOTRIPMO,EOTR_PMO,NUMNIGHT,NUMN_GHT,FOODDEAL,FOOD_EAL,LODGDEAL,LODG_EAL,TRANDEAL,TRAN_EAL,ELSEDEAL,ELSE_EAL,CMLOCALY,CMLO_ALY,CMPLANEY,CMPL_NEY,CMTRAINY,CMTR_INY,CMBUSY,CMBUSY_,CMSHIPY,CMSHIPY_,RTCARY,RTCARY_,RTMOPEDY,RTMO_EDY,RTBOATY,RTBOATY_,RTCAMPY,RTCAMPY_,RTOTHERY,RTOT_ERY,PVCARY,PVCARY_,PVELSEY,PVELSEY_,PVTRANSY,PVTR_NSY,CMLOCALX,CMLO_ALX,CMPLANEX,CMPL_NEX,CMTRAINX,CMTR_INX,CMBUSX,CMBUSX_,CMSHIPX,CMSHIPX_,RTCARX,RTCARX_,RTMOPEDX,RTMO_EDX,RTBOATX,RTBOATX_,RTCAMPX,RTCAMPX_,RTOTHERX,RTOT_ERX,GASOILX,GASOILX_,TRPTOLLX,TRPT_LLX,PARKINGX,PARK_NGX,LDGCOSTX,LDGC_STX,TRPALCHX,TRPA_CHX,TRPALCGX,TRPA_CGX,TRPSPRTX,TRPS_RTX,TRPETRTX,TRPE_RTX,TRMISCX,TRMISCX_,TRPGFTCX,TRPG_TCX,QTRFLAX,QTRFLAX_,QTRGLAX,QTRGLAX_
20191,03924474,19,0,1,1,D,1,D,2,D,01,D,7,D,,A,,A,,A,,A,01,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,9,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03924484,59,0,1,1,D,1,D,1,D,02,D,4,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,3,D,,A,,A,,A
20191,03924594,28,0,1,1,D,1,D,1,D,12,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,203,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,100,D
20191,03924714,50,0,1,1,D,1,D,1,D,02,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,250,D,20,D,,A,,A,,A,,A,,A,80,D,25,D
20191,03924754,12,0,1,1,D,1,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03924764,69,0,1,1,D,3,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,215,D,,A,,A,,A,,A,,A,,A,,A,,A
20191,03924764,70,0,1,1,D,4,D,1,D,01,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,4,G,47,G,4,G,2,G,146,G,,A,,A,,A,,A,,A,4,G,1,G,,A,200,D,6,G,3,G,24,G,24,G,6,G,,A,22,G,7,G
20191,03924894,28,0,1,1,D,1,D,1,D,12,D,3,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,,A,,A,,A,30,D,290,D,,A,,A,,A,0,D,,A,,A,,A,,A,25,D,,A,,A,,A,50,D,,A,,A,,A,,A,75,D,100,D,,A
20191,03924914,25,0,1,1,D,1,D,1,D,02,D,7,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,500,D,,A,,A,436,G,54,G,18,G,126,G,340,G,198,G,,A,214,G,114,G
20191,03925034,57,0,1,1,D,7,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03925034,58,0,1,1,D,8,D,1,D,02,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03925034,59,0,2,1,D,9,D,1,D,12,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03925084,14,0,1,1,D,1,D,1,D,12,D,7,D,,A,,A,,A,,A,,A,,A,,A,04,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,,A
20191,03925094,60,0,1,1,D,2,D,1,D,12,D,7,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,213,D,,A,,A,700,D,,A,,A,,A,,A,,A,50,D,200,D,50,D
20191,03925094,61,0,1,1,D,3,D,1,D,01,D,7,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,494,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03925224,14,0,2,1,D,2,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,,A,,A,,A,,A,420,D,,A,,A,,A,220,D,,A,,A,,A,,A,32,D,,A,,A,700,D,,A,,A,,A,,A,,A,,A,350,D,,A
20191,03925334,22,0,1,1,D,1,D,1,D,12,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,350,D,,A,50,D,,A,,A,,A,,A,,A,150,D
20191,03925334,23,0,1,1,D,2,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03925734,30,0,1,1,D,1,D,1,D,12,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03925964,29,0,1,1,D,1,D,1,D,12,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,,A
20191,03926214,37,0,1,1,D,2,D,1,D,12,D,2,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,200,D,50,D,,A
20191,03926244,49,0,1,1,D,1,D,1,D,02,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A,100,D,,A,,A,,A,75,D,,A
20191,03926254,37,0,1,1,D,1,D,1,D,12,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A,,A,,A,30,D,,A,150,D,15,D
20191,03926294,32,0,1,1,D,1,D,1,D,02,D,9,D,,A,,A,,A,,A,,A,02,D,03,D,04,D,,A,,A,,A,,A,,A,,A,,A,16,D,,A,,A,250,D,8,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,13,D,,A,,A,109,D,,A
20191,03926344,23,0,1,1,D,2,D,1,D,01,D,0,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,460,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03926454,54,0,1,1,D,2,D,1,D,12,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,55,D,,A,,A,,A,15,D,,A,,A,,A,,A,50,D,115,D,50,D
20191,03926464,38,0,2,1,D,3,D,1,D,12,D,7,D,1,D,1,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,203,G,1430,G,145,G,98,G,440,G,,A,,A,,A,,A,,A,,A,,A,,A,1459,G,209,G,,A,,A,,A,,A,,A,516,G,,A
20191,03926514,51,0,1,1,D,1,D,1,D,12,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,75,D,,A,,A,,A,50,D,,A,160,D,,A,,A,,A,250,D,,A
20191,03926514,52,0,1,2,D,2,D,1,D,02,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,125,D,7,D,,A,,A,,A,,A,,A,,A,48,D,,A,,A,,A
20191,03926534,39,0,1,1,D,2,D,1,D,12,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,550,D,30,D,,A,,A,70,D,,A,,A,120,D,,A
20191,03926704,25,0,2,2,D,2,D,1,D,12,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,140,D,20,D,,A,300,D,,A,,A,,A,25,D,,A,,A,250,D,,A
20191,03926784,25,0,1,2,D,3,D,1,D,02,D,21,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,16,D,,A,52,D,455,D,,A,,A,,A,,A,,A,,A,,A,,A,0,D,0,D,,A,,A,30,D,,A,,A,,A,15,D,215,D,170,D,200,D
20191,03926784,26,0,2,2,D,4,D,1,D,12,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,35,D,20,D,50,D
20191,03926874,28,0,1,1,D,1,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,,A,,A,,A,,A,,A,,A,,A,25,D,,A,200,D,50,D
20191,03926874,29,0,1,1,D,2,D,1,D,02,D,3,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,,A,,A,,A,150,D,,A,,A,200,D,,A
20191,03927044,22,0,1,2,D,1,D,1,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,06,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,,A,,A,,A,160,D,,A,120,D,,A,,A,,A,,A,,A,,A,80,D,,A
