QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20191,04072821,46,2,1,12,D,,B,,A,233,E,110,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072821,46,3,1,12,D,,B,,A,91,E,100,D,2,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072831,28,0,1,10,D,541,D,,A,541,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072831,29,0,1,10,D,54,D,,A,54,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072891,34,0,1,10,D,400,D,,A,400,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072891,35,0,1,11,D,575,D,,A,575,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072931,45,0,1,10,D,60,D,,A,60,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072931,46,0,1,11,D,878,D,,A,878,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072931,47,0,1,11,D,110,D,,A,110,D,160,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072931,48,0,1,11,D,15,D,,A,15,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072991,45,0,1,11,D,60,D,,A,60,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072991,46,0,1,10,D,27,D,,A,27,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072991,47,0,1,11,D,27,D,,A,27,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04072991,48,0,1,12,D,27,D,,A,27,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073041,17,0,1,12,D,150,D,,A,,H,500,D,1,D,2,D,160,D,367,D,100,D,,A,,A,,A,,A,,A,,A
20191,04073041,17,1,1,12,D,,B,,A,82,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073041,17,2,1,12,D,,B,,A,18,E,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073041,17,3,1,12,D,,B,,A,50,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
