QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBPURCH,APBP_RCH
20191,03892814,1,0,1,700,D,1,D,10,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892834,1,0,1,230,D,1,D,11,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892834,2,0,1,640,D,1,D,10,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,2,D
20191,03892834,3,0,1,490,D,1,D,12,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892844,1,0,1,230,D,3,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892844,2,0,1,230,D,3,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892844,3,0,1,645,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892844,4,0,1,660,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892844,5,0,1,660,D,1,D,11,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892844,6,0,1,460,D,1,D,10,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892844,7,0,1,425,D,1,D,12,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,A
20191,03892844,8,0,1,480,D,1,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892844,9,0,1,510,D,2,D,,A,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892934,1,0,1,460,D,1,D,10,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892994,1,0,1,230,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892994,2,0,1,800,D,3,D,12,D,,H,,A,320,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892994,2,1,1,320,D,3,D,12,D,227,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03892994,2,2,1,330,D,3,D,12,D,73,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893054,2,0,1,230,D,1,D,11,D,108,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893054,3,0,1,655,D,1,D,12,D,173,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893054,4,0,1,660,D,1,D,12,D,194,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893054,5,0,1,470,D,1,D,10,D,81,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893114,1,0,1,240,D,1,D,11,D,540,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893144,1,0,1,490,D,1,D,11,D,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893214,1,0,1,230,D,1,D,12,D,166,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893234,1,0,1,230,D,1,D,12,D,213,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893234,2,0,1,700,D,1,D,12,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,03893334,1,0,1,640,D,1,D,12,D,179,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,A
20191,03893424,1,0,1,490,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
