QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,APPRPB9_
20222,04829064,6,0,1,190,D,03,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829094,7,0,1,190,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829324,8,0,1,130,D,04,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829324,9,0,1,190,D,03,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829494,2,0,1,130,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829494,3,0,1,190,D,04,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829524,10,0,1,110,D,13,D,58,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829854,5,0,2,190,D,02,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829914,13,0,1,190,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829964,7,0,1,190,D,02,D,59,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830424,11,0,1,220,D,04,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830434,3,0,1,190,D,04,D,41,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830884,4,0,1,190,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831164,4,0,1,200,D,13,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831264,12,0,1,190,D,04,D,119,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831264,13,0,1,170,D,13,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831314,9,0,1,190,D,04,D,101,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831664,11,0,1,190,D,04,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832154,7,0,1,110,D,02,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832184,8,0,1,200,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832454,7,0,1,130,D,04,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832704,6,0,1,190,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833104,5,0,1,110,D,13,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833544,4,0,1,190,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834174,4,0,1,100,D,02,D,144,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834214,8,0,1,190,D,02,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834214,9,0,1,190,D,04,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834214,10,0,2,190,D,02,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834454,2,0,1,190,D,02,D,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834454,3,0,1,190,D,03,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834544,3,0,1,190,D,13,D,92,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834634,4,0,1,130,D,04,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834634,5,0,1,190,D,04,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834934,5,0,1,190,D,03,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835624,7,0,1,130,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835624,8,0,1,190,D,02,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04835894,14,0,1,190,D,04,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836034,8,0,1,130,D,02,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836174,14,0,1,200,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836344,8,0,1,190,D,04,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836774,5,0,1,130,D,03,D,323,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836924,4,0,1,190,D,03,D,111,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04836944,6,0,1,110,D,04,D,121,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04837164,2,0,1,190,D,02,D,1642,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04837204,4,0,1,190,D,04,D,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04837324,5,0,1,190,D,02,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04837894,8,0,1,190,D,13,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04838694,5,0,1,110,D,05,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04838694,6,0,1,190,D,05,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
