QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20222,04820764,2,0,1,100,D,13,D,200,D
20222,04820764,3,0,1,150,D,13,D,400,D
20222,04820784,2,0,1,150,D,13,D,60,D
20222,04820784,3,0,1,160,D,13,D,80,D
20222,04820874,2,0,1,150,D,13,D,60,D
20222,04820884,2,0,1,160,D,01,D,500,D
20222,04820944,6,0,1,150,D,13,D,200,D
20222,04821054,2,0,1,150,D,13,D,200,D
20222,04821094,2,0,1,150,D,02,D,240,D
20222,04821114,4,0,1,160,D,01,D,150,D
20222,04821224,2,0,1,150,D,13,D,80,D
20222,04821224,3,0,1,130,D,13,D,50,D
20222,04821234,2,0,1,150,D,13,D,45,D
20222,04821434,2,0,1,170,D,13,D,20,D
20222,04821434,3,0,1,150,D,13,D,20,D
20222,04821434,4,0,1,160,D,13,D,40,D
20222,04821534,2,0,1,150,D,13,D,100,D
20222,04821564,2,0,1,150,D,13,D,144,F
20222,04821584,2,0,1,160,D,03,D,600,D
20222,04821634,3,0,1,100,D,01,D,100,D
20222,04821634,4,0,1,150,D,13,D,100,D
20222,04821634,5,0,1,140,D,01,D,250,D
20222,04821634,6,0,1,160,D,01,D,50,D
20222,04821974,4,0,1,160,D,02,D,500,D
20222,04822024,3,0,1,140,D,02,D,35,D
20222,04822024,4,0,1,150,D,13,D,565,D
20222,04822034,6,0,1,150,D,13,D,80,D
20222,04822104,3,0,1,160,D,01,D,150,D
20222,04822124,3,0,1,150,D,03,D,40,D
20222,04822354,2,0,1,130,D,02,D,500,D
20222,04822404,2,0,1,160,D,13,D,50,D
20222,04822424,5,0,2,170,D,01,D,200,D
20222,04822534,3,0,1,110,D,13,D,373,F
20222,04822534,4,0,1,110,D,13,D,373,F
20222,04822584,3,0,1,160,D,13,D,250,D
20222,04822684,2,0,1,170,D,13,D,250,D
20222,04822684,3,0,2,170,D,01,D,250,D
20222,04822714,3,0,1,160,D,03,D,200,D
20222,04822734,4,0,1,110,D,13,D,300,D
20222,04822764,2,0,1,160,D,02,D,130,D
20222,04822774,12,0,1,150,D,13,D,25,D
20222,04822854,3,0,1,160,D,13,D,310,D
20222,04822894,2,0,1,160,D,13,D,36,D
20222,04822894,3,0,1,150,D,13,D,80,D
20222,04822994,2,0,1,150,D,13,D,394,F
20222,04823024,7,0,1,110,D,01,D,235,D
20222,04823024,8,0,1,110,D,02,D,235,D
20222,04823024,9,0,1,120,D,13,D,167,D
20222,04823044,2,0,1,150,D,13,D,800,D
20222,04823054,4,0,1,160,D,13,D,100,D
20222,04823084,3,0,1,150,D,13,D,870,D
20222,04823094,2,0,1,160,D,13,D,50,D
20222,04823174,2,0,1,150,D,01,D,40,D
20222,04823184,2,0,1,150,D,13,D,184,F
20222,04823214,4,0,1,150,D,13,D,60,D
20222,04823264,3,0,1,140,D,01,D,20,D
20222,04823304,3,0,1,160,D,03,D,25,D
20222,04823344,2,0,1,150,D,13,D,40,D
20222,04823554,2,0,1,160,D,13,D,50,D
20222,04823564,5,0,1,160,D,03,D,250,D
20222,04823564,6,0,1,160,D,02,D,300,D
20222,04823584,2,0,1,160,D,13,D,20,D
20222,04823584,3,0,1,160,D,03,D,241,D
20222,04823594,4,0,2,110,D,01,D,1,D
20222,04823634,5,0,1,170,D,03,D,300,D
20222,04823654,3,0,1,170,D,01,D,85,D
20222,04823654,4,0,1,150,D,13,D,100,D
20222,04823694,2,0,1,150,D,13,D,144,F
20222,04823764,5,0,1,150,D,13,D,130,D
20222,04823764,6,0,1,150,D,13,D,1675,D
20222,04823874,3,0,1,160,D,03,D,500,D
20222,04823884,6,0,1,150,D,13,D,1250,D
20222,04823894,8,0,1,170,D,03,D,100,D
20222,04823894,9,0,1,150,D,13,D,600,D
20222,04824084,2,0,1,150,D,13,D,50,D
20222,04824124,2,0,1,150,D,13,D,450,D
20222,04824144,3,0,1,100,D,01,D,200,D
20222,04824154,2,0,1,150,D,13,D,120,D
20222,04824264,2,0,1,160,D,13,D,5,D
20222,04824344,3,0,1,170,D,03,D,160,D
20222,04824374,7,0,1,170,D,01,D,20,D
20222,04824374,8,0,1,170,D,13,D,5,D
20222,04824474,3,0,1,170,D,02,D,150,D
20222,04824514,3,0,1,150,D,03,D,40,D
20222,04824604,6,0,1,170,D,03,D,300,D
20222,04824604,7,0,1,170,D,13,D,60,D
20222,04824604,8,0,1,150,D,13,D,1875,D
20222,04824614,2,0,1,160,D,13,D,15,D
20222,04824694,4,0,1,150,D,13,D,100,D
20222,04824704,3,0,1,160,D,13,D,200,D
20222,04824724,4,0,1,160,D,01,D,100,D
20222,04824744,2,0,1,150,D,13,D,750,D
20222,04824774,3,0,1,170,D,03,D,100,D
20222,04824774,4,0,1,160,D,02,D,300,D
20222,04824774,5,0,1,160,D,03,D,200,D
20222,04824794,7,0,1,150,D,13,D,100,D
20222,04824904,3,0,1,170,D,03,D,600,D
20222,04824924,2,0,1,160,D,13,D,75,D
20222,04824934,2,0,1,150,D,13,D,40,D
20222,04824954,2,0,1,150,D,13,D,150,D
20222,04824994,3,0,1,150,D,13,D,80,D
20222,04824994,4,0,1,160,D,13,D,10,D
20222,04825024,3,0,1,110,D,13,D,400,D
20222,04825184,7,0,1,100,D,01,D,100,D
20222,04825184,8,0,1,100,D,02,D,100,D
20222,04825184,9,0,1,100,D,03,D,100,D
20222,04825184,10,0,1,150,D,13,D,20,D
20222,04825204,4,0,1,160,D,03,D,3000,D
20222,04825214,2,0,1,110,D,13,D,500,D
20222,04825224,3,0,1,170,D,13,D,60,D
20222,04825224,4,0,1,150,D,13,D,600,D
20222,04825234,4,0,1,130,D,01,D,20,D
20222,04825234,5,0,1,150,D,13,D,200,D
20222,04825264,3,0,1,160,D,13,D,5,D
20222,04825294,2,0,1,160,D,13,D,7,D
20222,04825294,3,0,1,160,D,03,D,30,D
20222,04825294,4,0,1,160,D,03,D,30,D
20222,04825364,2,0,1,100,D,02,D,150,D
20222,04825364,3,0,1,100,D,03,D,200,D
20222,04825364,4,0,1,150,D,13,D,60,D
20222,04825364,5,0,2,100,D,01,D,100,D
20222,04825434,9,0,1,170,D,03,D,20,D
20222,04825444,5,0,1,150,D,13,D,800,D
20222,04825444,6,0,1,160,D,13,D,400,D
20222,04825454,3,0,1,150,D,13,D,50,D
20222,04825484,2,0,1,110,D,13,D,182,D
20222,04825584,2,0,1,160,D,01,D,10,D
20222,04825604,4,0,1,160,D,01,D,4000,D
20222,04825614,2,0,1,150,D,13,D,150,D
20222,04825654,3,0,1,150,D,13,D,350,D
20222,04825654,4,0,1,160,D,13,D,200,D
20222,04825694,2,0,1,170,D,03,D,300,D
20222,04825724,3,0,1,160,D,03,D,300,D
20222,04825734,2,0,1,160,D,02,D,200,D
20222,04825734,3,0,1,160,D,03,D,100,D
20222,04825734,4,0,2,160,D,01,D,400,D
20222,04825784,2,0,1,150,D,13,D,300,D
20222,04825824,2,0,1,180,D,13,D,750,D
20222,04825844,3,0,1,180,D,02,D,38000,D
20222,04825844,4,0,2,180,D,01,D,38000,D
20222,04825894,2,0,1,100,D,01,D,1000,D
20222,04825904,2,0,1,150,D,13,D,170,D
20222,04825904,3,0,1,150,D,13,D,176,D
20222,04825904,4,0,1,150,D,03,D,1500,D
20222,04826094,2,0,1,150,D,02,D,50,D
20222,04826134,2,0,1,150,D,13,D,75,D
20222,04826284,2,0,1,160,D,13,D,225,D
20222,04826294,2,0,1,100,D,13,D,200,D
20222,04826364,2,0,1,170,D,01,D,100,D
20222,04826394,2,0,1,150,D,13,D,20,D
20222,04826494,2,0,1,170,D,02,D,500,D
20222,04826494,3,0,1,150,D,13,D,100,D
20222,04826494,4,0,1,160,D,01,D,100,D
20222,04826544,6,0,1,160,D,13,D,100,D
20222,04826614,4,0,1,170,D,02,D,25,D
20222,04826664,3,0,1,160,D,13,D,45,D
20222,04826794,3,0,1,170,D,13,D,60,D
20222,04826844,2,0,1,150,D,13,D,50,D
20222,04826854,4,0,1,150,D,13,D,500,D
20222,04826854,5,0,1,160,D,03,D,100,D
20222,04826954,4,0,1,150,D,03,D,238,F
20222,04826954,5,0,1,160,D,13,D,200,D
20222,04826954,6,0,1,180,D,04,D,6000,D
20222,04827044,2,0,1,160,D,13,D,2,D
20222,04827194,2,0,1,160,D,04,D,550,D
20222,04827244,2,0,1,150,D,13,D,140,D
20222,04827354,2,0,1,170,D,02,D,140,D
20222,04827354,3,0,1,170,D,04,D,75,D
20222,04827404,2,0,1,160,D,03,D,35,D
20222,04827414,4,0,1,150,D,04,D,30,D
20222,04827514,2,0,1,150,D,13,D,200,D
20222,04827614,3,0,1,130,D,04,D,20,D
20222,04827764,2,0,1,170,D,02,D,40,D
20222,04827764,3,0,2,170,D,02,D,500,D
20222,04827944,2,0,1,150,D,03,D,180,D
20222,04827974,3,0,1,150,D,13,D,144,F
20222,04828224,6,0,2,160,D,02,D,25,D
20222,04828274,3,0,1,150,D,13,D,20,D
20222,04828324,3,0,1,170,D,03,D,100,D
20222,04828394,8,0,1,150,D,04,D,200,D
20222,04828454,2,0,1,160,D,13,D,150,D
20222,04828544,4,0,1,170,D,04,D,200,D
20222,04828544,5,0,1,150,D,13,D,830,D
20222,04828544,6,0,1,160,D,02,D,50,D
20222,04828544,7,0,1,160,D,04,D,50,D
20222,04828564,8,0,1,160,D,13,D,20,D
20222,04828564,9,0,1,160,D,13,D,20,D
20222,04828564,10,0,1,160,D,04,D,40,D
20222,04828574,7,0,1,130,D,04,D,75,D
20222,04828574,8,0,1,140,D,04,D,110,D
20222,04828604,3,0,1,150,D,13,D,23,D
20222,04828604,4,0,1,150,D,13,D,20,D
20222,04828704,2,0,1,100,D,13,D,350,D
20222,04828704,3,0,1,160,D,13,D,150,D
20222,04828704,4,0,1,150,D,13,D,238,F
20222,04828724,2,0,1,160,D,13,D,20,D
20222,04828734,4,0,1,170,D,13,D,125,D
20222,04828734,5,0,1,130,D,04,D,1000,D
20222,04828734,6,0,1,130,D,02,D,50,D
20222,04828734,7,0,1,150,D,13,D,200,D
20222,04828744,5,0,1,160,D,03,D,50,D
20222,04828864,2,0,1,170,D,04,D,100,D
20222,04828874,2,0,1,110,D,13,D,600,D
20222,04828884,2,0,1,150,D,13,D,1000,D
20222,04828904,2,0,1,160,D,13,D,100,D
20222,04828934,2,0,1,100,D,02,D,200,D
20222,04828954,2,0,1,170,D,02,D,100,D
20222,04828954,3,0,1,170,D,02,D,50,D
20222,04829024,4,0,1,160,D,13,D,10,D
20222,04829054,5,0,1,160,D,13,D,255,D
20222,04829054,6,0,1,160,D,02,D,100,D
20222,04829064,2,0,1,160,D,02,D,200,D
20222,04829064,3,0,1,160,D,02,D,500,D
20222,04829094,2,0,2,170,D,02,D,25,D
20222,04829104,3,0,1,170,D,02,D,500,D
20222,04829104,4,0,1,170,D,03,D,500,D
20222,04829104,5,0,1,170,D,04,D,500,D
20222,04829104,6,0,1,150,D,13,D,100,D
20222,04829134,2,0,1,150,D,13,D,100,D
20222,04829274,2,0,1,150,D,13,D,70,D
20222,04829324,7,0,1,160,D,04,D,25,D
20222,04829394,2,0,1,160,D,13,D,491,D
20222,04829434,2,0,1,160,D,13,D,50,D
20222,04829444,3,0,1,150,D,13,D,300,D
20222,04829524,7,0,1,150,D,03,D,250,D
20222,04829594,2,0,1,170,D,03,D,100,D
20222,04829604,6,0,1,170,D,04,D,6,D
20222,04829604,7,0,1,160,D,13,D,4,D
20222,04829824,3,0,1,170,D,13,D,100,D
20222,04829824,4,0,1,160,D,13,D,50,D
20222,04829824,5,0,2,170,D,02,D,120,D
20222,04829844,2,0,1,170,D,13,D,85,D
20222,04829854,2,0,1,170,D,03,D,450,D
20222,04829854,3,0,1,170,D,04,D,450,D
20222,04829854,4,0,1,160,D,03,D,140,D
20222,04829914,7,0,1,150,D,13,D,8000,D
20222,04829964,3,0,1,160,D,04,D,50,D
20222,04829964,4,0,1,160,D,02,D,50,D
20222,04830034,2,0,1,150,D,03,D,325,D
20222,04830034,3,0,1,150,D,03,D,100,D
20222,04830254,2,0,1,160,D,13,D,150,D
20222,04830384,9,0,1,170,D,02,D,155,D
20222,04830384,10,0,1,170,D,03,D,15,D
20222,04830384,11,0,1,150,D,02,D,394,D
20222,04830384,12,0,1,150,D,03,D,399,D
20222,04830384,13,0,1,150,D,03,D,425,D
20222,04830404,2,0,1,170,D,13,D,100,D
20222,04830414,2,0,1,170,D,02,D,25,D
20222,04830414,3,0,1,170,D,03,D,5,D
20222,04830414,4,0,1,150,D,13,D,865,D
20222,04830424,9,0,1,160,D,13,D,20,D
20222,04830434,2,0,1,160,D,13,D,200,D
20222,04830684,2,0,1,170,D,04,D,20,D
20222,04830884,2,0,1,140,D,13,D,50,D
20222,04830894,2,0,1,110,D,13,D,400,D
20222,04830994,2,0,1,150,D,13,D,25,D
20222,04831004,2,0,1,160,D,03,D,10,D
20222,04831004,3,0,1,160,D,03,D,10,D
20222,04831004,4,0,1,160,D,02,D,10,D
20222,04831054,3,0,1,160,D,13,D,50,D
20222,04831114,2,0,1,160,D,13,D,25,D
20222,04831164,3,0,1,150,D,13,D,20,D
20222,04831174,2,0,2,170,D,02,D,50,D
20222,04831254,3,0,1,150,D,13,D,100,D
20222,04831314,6,0,1,170,D,13,D,15,D
20222,04831314,7,0,1,160,D,04,D,20,D
20222,04831324,2,0,1,170,D,02,D,40,D
20222,04831484,3,0,1,150,D,13,D,600,D
20222,04831514,6,0,1,100,D,02,D,100,D
20222,04831514,7,0,1,100,D,03,D,100,D
20222,04831514,8,0,1,100,D,04,D,100,D
20222,04831514,9,0,1,150,D,13,D,1500,D
20222,04831514,10,0,1,160,D,13,D,200,D
20222,04831604,2,0,1,150,D,13,D,300,D
20222,04831604,3,0,1,160,D,13,D,85,D
20222,04831664,8,0,1,160,D,03,D,203,D
20222,04831664,9,0,1,150,D,04,D,330,D
20222,04831704,4,0,1,160,D,03,D,300,D
20222,04831784,2,0,1,110,D,13,D,380,D
20222,04831794,5,0,1,150,D,02,D,80,D
20222,04831794,6,0,1,150,D,03,D,50,D
20222,04831794,7,0,1,150,D,04,D,50,D
20222,04831854,2,0,1,170,D,02,D,100,D
20222,04831854,3,0,1,170,D,03,D,100,D
20222,04831854,4,0,1,170,D,04,D,100,D
20222,04831854,5,0,1,160,D,03,D,15,D
20222,04831854,6,0,1,160,D,04,D,45,D
20222,04831854,7,0,1,160,D,02,D,6,D
20222,04831854,8,0,1,150,D,03,D,150,D
20222,04831854,9,0,1,150,D,04,D,100,D
20222,04831854,10,0,2,170,D,02,D,50,D
20222,04831854,11,0,2,160,D,02,D,12,D
20222,04831874,5,0,1,170,D,13,D,300,D
20222,04831974,3,0,1,170,D,13,D,200,D
20222,04831974,4,0,1,140,D,13,D,99,F
20222,04832154,4,0,1,170,D,13,D,150,D
20222,04832154,5,0,1,150,D,13,D,150,D
20222,04832184,4,0,1,100,D,13,D,100,D
20222,04832184,5,0,1,170,D,13,D,80,D
20222,04832224,2,0,1,170,D,13,D,12,D
20222,04832254,2,0,1,150,D,13,D,50,D
20222,04832254,3,0,1,160,D,04,D,35,D
20222,04832254,4,0,1,160,D,13,D,30,D
20222,04832254,5,0,1,160,D,04,D,35,D
20222,04832254,6,0,1,150,D,04,D,35,D
20222,04832304,2,0,1,150,D,13,D,15,D
20222,04832314,3,0,1,170,D,13,D,800,D
20222,04832324,3,0,1,150,D,13,D,50,D
20222,04832344,4,0,1,110,D,13,D,200,D
20222,04832354,2,0,1,150,D,13,D,50,D
20222,04832384,2,0,1,170,D,03,D,150,D
20222,04832384,3,0,1,160,D,13,D,20,D
20222,04832424,2,0,1,170,D,04,D,50,D
20222,04832424,3,0,1,150,D,04,D,50,D
20222,04832454,3,0,1,140,D,03,D,100,D
20222,04832454,4,0,1,160,D,04,D,100,D
20222,04832694,3,0,1,170,D,03,D,550,D
20222,04832694,4,0,1,160,D,03,D,115,D
20222,04832704,4,0,1,170,D,04,D,100,D
20222,04832704,5,0,1,160,D,04,D,100,D
20222,04832724,7,0,1,170,D,02,D,25,D
