QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20222,05032691,33,1,1,410,D,04,D,33,E,,A,,A,,A,,A
20222,05032691,33,2,1,405,D,04,D,267,E,,A,,A,,A,,A
20222,05032761,26,0,1,430,D,03,D,,H,425,D,405,D,415,D,,A
20222,05032761,26,1,1,420,D,03,D,187,E,,A,,A,,A,,A
20222,05032761,26,2,1,420,D,03,D,813,E,,A,,A,,A,,A
20222,05032831,24,0,1,430,D,03,D,,H,425,D,405,D,415,D,,A
20222,05032831,24,1,1,405,D,03,D,26,E,,A,,A,,A,,A
20222,05032831,24,2,1,420,D,03,D,43,E,,A,,A,,A,,A
20222,05033261,36,0,1,420,D,03,D,74,D,,A,,A,,A,,A
20222,05033261,37,0,1,420,D,03,D,74,D,,A,,A,,A,,A
20222,05033291,11,0,1,400,D,03,D,20,D,,A,,A,,A,,A
20222,05033351,23,0,1,420,D,03,D,70,D,,A,,A,,A,,A
20222,05033371,25,0,1,400,D,02,D,100,D,,A,,A,,A,,A
20222,05033531,31,0,1,405,D,03,D,80,D,,A,,A,,A,,A
20222,05033551,24,0,1,420,D,03,D,200,D,,A,,A,,A,,A
20222,05033571,43,0,1,405,D,03,D,291,F,,A,,A,,A,,A
20222,05033771,24,0,1,420,D,02,D,150,D,,A,,A,,A,,A
20222,05033781,37,0,1,430,D,04,D,,H,415,D,410,D,,A,,A
20222,05033781,37,1,1,420,D,04,D,79,E,,A,,A,,A,,A
20222,05033781,37,2,1,410,D,04,D,15,E,,A,,A,,A,,A
20222,05033821,22,0,1,410,D,04,D,24,D,,A,,A,,A,,A
20222,05033881,23,0,1,410,D,02,D,21,D,,A,,A,,A,,A
20222,05033881,24,0,1,420,D,04,D,58,D,,A,,A,,A,,A
20222,05033891,21,0,1,420,D,04,D,35,D,,A,,A,,A,,A
20222,05033891,22,0,1,405,D,03,D,84,D,,A,,A,,A,,A
20222,05033921,31,0,1,400,D,04,D,12,D,,A,,A,,A,,A
20222,05033921,32,0,1,410,D,04,D,25,D,,A,,A,,A,,A
20222,05034051,26,0,1,430,D,04,D,,H,410,D,405,D,,A,,A
20222,05034051,26,1,1,410,D,04,D,12,E,,A,,A,,A,,A
20222,05034051,26,2,1,405,D,04,D,98,E,,A,,A,,A,,A
20222,05034201,49,0,1,420,D,03,D,415,D,,A,,A,,A,,A
20222,05034321,33,0,1,420,D,04,D,75,D,,A,,A,,A,,A
20222,05034461,24,0,1,410,D,05,D,7,D,,A,,A,,A,,A
20222,05034461,25,0,1,410,D,03,D,7,D,,A,,A,,A,,A
20222,05034461,26,0,1,420,D,05,D,74,D,,A,,A,,A,,A
20222,05034461,27,0,1,420,D,03,D,74,D,,A,,A,,A,,A
20222,05034551,28,0,1,400,D,05,D,45,D,,A,,A,,A,,A
20222,05034551,29,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20222,05034551,29,1,1,420,D,05,D,450,E,,A,,A,,A,,A
20222,05034631,32,0,1,420,D,05,D,57,D,,A,,A,,A,,A
20222,05034821,38,0,1,420,D,04,D,135,D,,A,,A,,A,,A
20222,05034891,38,0,1,400,D,03,D,20,D,,A,,A,,A,,A
20222,05034911,22,0,1,400,D,05,D,130,D,,A,,A,,A,,A
20222,05035001,39,0,1,400,D,05,D,25,D,,A,,A,,A,,A
20222,05035001,40,0,1,420,D,05,D,30,F,,A,,A,,A,,A
20222,05035151,32,0,1,430,D,03,D,,H,405,D,415,D,,A,,A
