QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20231,05013584,15,0,5,02,D,200,D,,A,3,D,,B,2006,D,,A,,A,,A,1600,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05013684,25,0,5,01,D,100,D,,A,3,D,,B,2000,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05013764,15,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05013764,16,0,5,02,D,300,D,,A,1,D,,B,2000,D,,A,,A,,A,2400,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05013774,14,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05013834,14,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,720,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05013844,18,0,5,01,D,100,D,,A,3,D,04,D,2021,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05013864,34,0,5,01,D,100,D,,A,1,D,,B,2011,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05013934,17,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,2600,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014034,14,0,5,01,D,100,D,,A,3,D,,B,1985,D,,A,,A,,A,3200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014084,7,0,5,01,D,100,D,,A,3,D,05,D,2021,D,,A,,A,,A,330,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014114,43,0,5,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,9000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014124,22,0,5,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,8200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014194,11,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014254,18,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014354,17,0,5,01,D,100,D,,A,3,D,,B,1977,D,,A,,A,,A,4500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014364,23,0,5,01,D,100,D,,A,3,D,,B,1979,D,,A,,A,,A,500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014434,22,0,5,01,D,100,D,,A,3,D,12,D,2021,D,,A,,A,,A,5500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014454,21,0,5,01,D,100,D,,A,3,D,,B,1975,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014524,16,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,1600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014524,17,0,5,02,D,400,D,,A,3,D,,B,2007,D,,A,,A,,A,270,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05014544,16,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014674,29,0,5,01,D,100,D,,A,3,D,03,D,2022,D,,A,,A,,A,1300,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014674,30,0,5,02,D,300,D,,A,3,D,,B,1998,D,,A,,A,,A,1700,F,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05014684,17,0,5,01,D,100,D,,A,3,D,,B,1989,D,,A,,A,,A,90,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014734,19,0,5,01,D,100,D,,A,1,D,,B,2019,D,,A,,A,,A,5500,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014744,27,0,5,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,7900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014754,17,0,5,01,D,100,D,,A,3,D,,B,2003,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014824,15,0,5,01,D,100,D,,A,1,D,,B,2014,D,,A,,A,,A,2200,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014854,17,0,5,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014864,9,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,7000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014894,11,0,5,01,D,100,D,,A,3,D,,B,2000,D,,A,,A,,A,4600,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014914,31,0,5,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,5600,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05014924,18,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,80,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05014934,15,0,5,01,D,100,D,,A,3,D,,B,1985,D,,A,,A,,A,540,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015004,12,0,5,01,D,300,D,,A,1,D,,B,1995,D,,A,,A,,A,1800,F,1,D,1,D,2,D,,A,,A,,A,,A,,A,1,D
20231,05015004,13,0,5,02,D,300,D,,A,1,D,,B,1996,D,,A,,A,,A,2400,F,1,D,1,D,2,D,,A,,A,,A,,A,,A,1,D
20231,05015004,14,0,5,03,D,300,D,,A,1,D,,B,2012,D,,A,,A,,A,2600,F,1,D,1,D,2,D,,A,,A,,A,,A,,A,1,D
20231,05015014,16,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,4700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015044,15,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015074,5,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015084,12,0,5,01,D,100,D,,A,1,D,12,D,2021,D,,A,,A,,A,1700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
