ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,01,27,D,D,1,,A,D,2,D,,A,04816104,2,D,,A,,A,,A,351,D,HHP,5,1,6,,A,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,01,6,D,D,1,,A,D,,A,,A,04816114,,A,,A,,A,,A,78,D,HHP,5,1,6,1,D,20222
0,1,D,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,01,10,D,D,1,,A,D,2,D,,A,04816114,2,D,,A,,A,,A,130,D,HHP,5,1,7,,A,20222
0,,A,1,D,1,D,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,35,D,D,1,,A,D,,A,,A,04816184,,A,,A,,A,,A,105,D,HHP,5,1,4,1,D,20222
0,2,D,1,D,1,D,1,D,1,D,,A,1,D,2,2,,1,D,D,A,D,04,,D,C,1,,A,D,,A,,A,04816184,1,D,2,D,,A,,A,2115,F,HHP,5,1,5,,A,20222
0,,A,1,D,1,D,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,65,D,D,1,,A,D,,A,,A,04816224,,A,,A,,A,,A,423,D,HHP,5,1,13,1,D,20222
0,2,D,1,D,1,D,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,300,D,D,1,,A,D,,A,,A,04816224,1,D,,A,,A,,A,1950,D,HHP,5,1,14,,A,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,8,D,D,1,,A,D,,A,,A,04816314,,A,,A,,A,,A,52,D,HHP,5,1,4,4,D,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,12,D,D,1,,A,D,,A,,A,04816314,,A,,A,,A,,A,78,D,HHP,5,1,5,1,D,20222
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,140,D,D,1,,A,D,2,D,,A,04816314,2,D,,A,,A,,A,910,D,HHP,5,1,6,,A,20222
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,150,D,D,2,,A,D,2,D,,A,04816364,2,D,,A,,A,,A,450,D,HHP,5,1,5,,A,20222
0,1,D,,A,,A,1,D,2,D,,A,,A,2,1,,1,D,D,A,D,04,150,D,D,,,A,A,1,D,,A,04816364,2,D,,A,,A,,A,450,D,HHP,1,1,6,,A,20222
0,2,D,1,D,,A,4,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,400,D,D,1,,A,D,,A,,A,04816374,1,D,,A,,A,,A,1200,D,HHP,5,1,4,,A,20222
0,2,D,,A,1,D,1,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,2,D,,A,04816374,2,D,,A,,A,,A,,A,HHP,5,1,5,,A,20222
0,2,D,,A,,A,1,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,,,A,A,,A,,A,04816474,1,D,,A,,A,,A,,A,HHP,1,1,3,,A,20222
0,2,D,,A,1,D,2,D,3,D,,A,,A,1,2,,1,D,D,A,D,04,177,D,D,,1,D,A,2,D,,A,04816544,2,D,1,D,3,D,1,D,531,D,HHP,1,1,7,,A,20222
0,2,D,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,170,D,D,1,,A,D,,A,,A,04816554,1,D,2,D,,A,,A,510,D,HHP,5,1,5,,A,20222
0,,A,,A,,A,4,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,04816574,,A,,A,,A,,A,,A,HHP,5,1,5,1,D,20222
0,2,D,,A,,A,4,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,2,D,,A,04816574,2,D,,A,,A,,A,,A,HHP,5,1,6,,A,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,4,D,D,1,,A,D,,A,,A,04816664,,A,,A,,A,,A,26,D,HHP,5,1,9,1,D,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,01,7,D,D,1,,A,D,,A,,A,04816664,,A,,A,,A,,A,91,D,HHP,5,1,10,1,D,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,4,D,D,1,,A,D,,A,,A,04816664,,A,,A,,A,,A,26,D,HHP,5,1,11,4,D,20222
0,2,D,,A,,A,3,D,2,D,,A,,A,4,,1,2,A,D,D,D,,,A,A,1,,A,D,1,D,,A,04816664,2,D,,A,,A,,A,,A,HHP,5,1,12,,A,20222
0,2,D,,A,,A,3,D,2,D,,A,,A,5,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,04816664,1,D,,A,,A,,A,,A,HHP,5,1,13,,A,20222
0,,C,2,D,1,D,1,D,2,F,,A,,A,1,1,,,D,D,A,C,04,,D,A,2,,A,D,,A,,A,04816694,1,D,,C,,A,,A,,A,HHP,5,1,9,,A,20222
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,112,D,D,1,,A,D,2,D,,A,04816704,2,D,,A,,A,,A,336,D,HHP,5,1,14,,A,20222
0,,A,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,30,D,D,1,,A,D,,A,,A,04816724,,A,,A,,A,,A,90,D,HHP,5,1,7,1,D,20222
0,2,D,,A,,A,2,D,1,D,,A,,A,2,,,2,A,D,C,D,,,A,A,1,,A,D,2,D,,A,04816724,2,D,2,D,,A,,A,,A,HHP,5,1,8,,A,20222
