QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20222,05033362,12,0,1,01,D,100,D,.0550,D,327000,D,30,D,2140,D,3,D,4,D,5,D,,A,283,D,,A,,A,358,D,,A,,A,1499,D,,A,04,D,2022,D,1,D,,A,,A,,A,327000,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05033423,11,0,1,01,D,100,D,.0365,F,360000,F,30,F,2800,F,3,F,4,F,,A,,A,1153,F,795,F,797,F,800,F,852,F,850,F,847,F,,A,02,F,2012,F,1,F,,A,280201,F,279406,F,278609,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05033481,14,0,1,01,D,100,D,.0296,D,412000,D,30,D,2024,D,3,D,4,D,,A,,A,296,D,726,D,728,D,729,D,1002,D,1000,D,999,D,,A,06,D,2021,D,1,D,,A,406257,D,405531,D,404803,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05033491,14,0,1,01,D,100,D,.0420,D,213500,D,30,D,1667,D,3,D,4,D,5,D,,A,623,D,297,D,298,D,299,D,747,D,746,D,745,D,,A,02,D,2022,D,1,D,,A,213500,D,213203,D,212905,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05033501,31,0,1,01,D,100,D,.0365,D,225000,D,15,D,1750,D,,B,,B,,B,,B,125,D,1156,D,1160,D,1163,D,469,D,465,D,462,D,,A,06,D,2016,D,1,D,,A,154061,D,152905,D,151745,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033571,25,0,1,01,D,100,D,.0296,D,351407,D,15,D,3000,D,3,D,4,D,,A,,A,580,D,1596,D,1600,D,1604,D,824,D,820,D,816,D,,A,03,D,2021,D,1,D,,A,334110,D,332514,D,330914,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033601,19,0,1,01,D,100,D,.0365,D,120000,D,30,D,1100,D,3,D,4,D,,A,,A,551,D,261,D,262,D,263,D,288,D,287,D,286,D,,A,07,D,2012,D,1,D,,A,94713,D,94452,D,94190,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033641,12,0,1,01,D,100,D,.0365,F,98705,F,10,F,983,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,983,F,983,F,983,F,,A,08,F,2016,F,1,F,,A,98705,F,98705,F,98705,F,01,D,,A,,A,3,D,,A,,A,,A,,A,2,D,1,D
20222,05033771,15,0,1,01,D,100,D,.0296,F,208000,F,30,F,1300,F,3,F,4,F,,A,,A,428,F,362,F,363,F,364,F,510,F,509,F,508,F,,A,11,F,2021,F,1,F,,A,206559,F,206196,F,205833,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033801,20,0,1,01,D,100,D,.0365,D,120000,D,30,D,1500,D,3,D,4,D,,A,,A,951,D,225,D,226,D,226,D,324,D,323,D,323,D,,A,08,D,2016,D,1,D,,A,106574,D,106349,D,106123,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
